!!SBtab SBtabVersion='1.0' TableID='ParameterBalanced' TableType='Quantity' TableName='Parameter' Document='jiang_data_cerevisiae_modified.tsv' Date='2023-11-01'
!QuantityType	!Reaction:SBML:reaction:id	!Compound:SBML:species:id	!Mode	!Unit	!UnconstrainedGeometricMean	!UnconstrainedGeometricStd	!UnconstrainedMean	!UnconstrainedStd	!Std	!GeometricStd	!Organism	!Reference
standard chemical potential		GLC	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		GLC	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		F6P	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		F6P	0.5814	mM	0.5814	1.5884	0.6471	0.3162		1.2		
standard chemical potential		FBP	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		FBP	2.4245	mM	2.4245	1.5884	2.6985	1.3187		1.2		
standard chemical potential		GAP	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		GAP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		DPG	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		DPG	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		PEP	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		PEP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		PYR_cyt	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		PYR_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		AMP	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		AMP	0.1747	mM	0.1747	1.5884	0.1945	0.095		1.2		
standard chemical potential		LAC	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		LAC	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		G3P	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		G3P	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		DHAP	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		DHAP	0.2578	mM	0.2578	1.5884	0.287	0.1402		1.2		
standard chemical potential		OXA_cyt	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		OXA_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Asp_cyt	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		Asp_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Glu_cyt	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		Glu_cyt	17.9719	mM	17.9719	1.5884	20.0029	9.7745		1.2		
standard chemical potential		OG_cyt	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		OG_cyt	2.048	mM	2.048	1.5884	2.2794	1.1139		1.2		
standard chemical potential		Mal_cyt	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		Mal_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Acetyl_CoA_cyt	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		Acetyl_CoA_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		CoA_cyt	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		CoA_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		IsoCitcyt	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		IsoCitcyt	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Cit_cyt	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		Cit_cyt	0.5814	mM	0.5814	1.5884	0.6471	0.3162		1.2		
standard chemical potential		ATP_cyt	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		ATP_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		ADP_cyt	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		ADP_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		NAD	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		NAD	1.0531	mM	1.0531	1.5884	1.1721	0.5727		1.2		
standard chemical potential		NADH_cyt	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		NADH_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		NADP_cyt	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		NADP_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		NADPH_cyt	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		NADPH_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Pyr	-4.5505	kJ/mol	NaN	NaN	-4.5505	456.4565				
concentration		Pyr	1.2853	mM	1.2853	1.5884	1.4305	0.699		1.2		
standard chemical potential		CO2	-4.5505	kJ/mol	NaN	NaN	-4.5505	456.4565				
concentration		CO2	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		CoA	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		CoA	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Acetyl_CoA	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		Acetyl_CoA	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Pi	4.5505	kJ/mol	NaN	NaN	4.5505	456.4565				
concentration		Pi	15.8972	mM	15.8972	1.5884	17.6937	8.6461		1.2		
standard chemical potential		Fum	-28.8781	kJ/mol	NaN	NaN	-28.8781	354.9031				
concentration		Fum	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		SCoA	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		SCoA	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Suc	28.8781	kJ/mol	NaN	NaN	28.8781	354.9031				
concentration		Suc	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		GTP	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		GTP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		GDP	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		GDP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Ala	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		Ala	11.7112	mM	11.7112	1.5884	13.0347	6.3695		1.2		
standard chemical potential		Asp	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		Asp	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Glu	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		Glu	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		H2O	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		H2O	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		ETFred	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		ETFred	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		ETFox	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		ETFox	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		FADH2	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		FADH2	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		FAD	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		FAD	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		OG	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		OG	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Mal	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		Mal	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		OXA	4.5505	kJ/mol	NaN	NaN	4.5505	456.4565				
concentration		OXA	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Cit	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		Cit	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		IsoCit	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		IsoCit	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		ATP	-4.5505	kJ/mol	NaN	NaN	-4.5505	456.4565				
concentration		ATP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		ADP	4.5505	kJ/mol	NaN	NaN	4.5505	456.4565				
concentration		ADP	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		NADP_p	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		NADP_p	0.0898	mM	0.0898	1.5884	0.1	0.0489		1.2		
standard chemical potential		NADPH	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		NADPH	0.0898	mM	0.0898	1.5884	0.1	0.0489		1.2		
standard chemical potential		NAD_p	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		NAD_p	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		NADH	0.0	kJ/mol	NaN	NaN	0.0	500.0				
concentration		NADH	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Q	-26.3248	kJ/mol	NaN	NaN	-26.3248	354.6748				
concentration		Q	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		QH2	26.3248	kJ/mol	NaN	NaN	26.3248	354.6748				
concentration		QH2	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Cytc3p	-11.9999	kJ/mol	NaN	NaN	-11.9999	353.7604				
concentration		Cytc3p	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Cytc2p	11.9999	kJ/mol	NaN	NaN	11.9999	353.7604				
concentration		Cytc2p	0.1	mM	0.1	10.0	1.4167	20.0217				
catalytic rate constant geometric mean	GLCflow		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	GLCflow		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	GLCflow		1.0	dimensionless	1.0	3.9327088155741904e+87	inf	inf				
substrate catalytic rate constant	GLCflow		31.6228	1/s	31.6228	7.011936469964137e+43	inf	inf				
product catalytic rate constant	GLCflow		3.1623	1/s	3.1623	7.011936469964137e+43	inf	inf				
catalytic rate constant geometric mean	LACflow		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	LACflow		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	LACflow		1.0	dimensionless	1.0	3.9327088155741904e+87	inf	inf				
substrate catalytic rate constant	LACflow		3.1623	1/s	3.1623	7.011936469964137e+43	inf	inf				
product catalytic rate constant	LACflow		31.6228	1/s	31.6228	7.011936469964137e+43	inf	inf				
catalytic rate constant geometric mean	GAPflow		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	GAPflow		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	GAPflow		1.0	dimensionless	1.0	3.9327088155741904e+87	inf	inf				
substrate catalytic rate constant	GAPflow		3.1623	1/s	3.1623	7.011936469964137e+43	inf	inf				
product catalytic rate constant	GAPflow		31.6228	1/s	31.6228	7.011936469964137e+43	inf	inf				
catalytic rate constant geometric mean	v1		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v1		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v1		1.0	dimensionless	1.0	1.546619862809495e+175	inf	inf				
substrate catalytic rate constant	v1		10.0	1/s	10.0	4.199791070514112e+87	inf	inf				
product catalytic rate constant	v1		10.0	1/s	10.0	4.199791070514112e+87	inf	inf				
catalytic rate constant geometric mean	v2		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v2		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v2		1.0	dimensionless	1.0	1.546619862809495e+175	inf	inf				
substrate catalytic rate constant	v2		10.0	1/s	10.0	4.199791070514112e+87	inf	inf				
product catalytic rate constant	v2		10.0	1/s	10.0	4.199791070514112e+87	inf	inf				
catalytic rate constant geometric mean	v3		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v3		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v3		1.0	dimensionless	1.0	7.373697454688143e+195	inf	inf				
substrate catalytic rate constant	v3		31.6228	1/s	31.6228	9.133617056220017e+97	inf	inf				
product catalytic rate constant	v3		3.1623	1/s	3.1623	9.133617056220017e+97	inf	inf				
catalytic rate constant geometric mean	v4		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v4		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v4		1.0	dimensionless	1.0	1.546619862809495e+175	inf	inf				
substrate catalytic rate constant	v4		10.0	1/s	10.0	4.199791070514112e+87	inf	inf				
product catalytic rate constant	v4		10.0	1/s	10.0	4.199791070514112e+87	inf	inf				
catalytic rate constant geometric mean	v5		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v5		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v5		1.0	dimensionless	1.0	1.546619862809495e+175	inf	inf				
substrate catalytic rate constant	v5		10.0	1/s	10.0	4.199791070514112e+87	inf	inf				
product catalytic rate constant	v5		10.0	1/s	10.0	4.199791070514112e+87	inf	inf				
catalytic rate constant geometric mean	v6		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v6		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v6		1.0	dimensionless	1.0	1.546619862809495e+175	inf	inf				
substrate catalytic rate constant	v6		10.0	1/s	10.0	4.199791070514112e+87	inf	inf				
product catalytic rate constant	v6		10.0	1/s	10.0	4.199791070514112e+87	inf	inf				
catalytic rate constant geometric mean	v7		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v7		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v7		1.0	dimensionless	1.0	1.546619862809495e+175	inf	inf				
substrate catalytic rate constant	v7		10.0	1/s	10.0	4.199791070514112e+87	inf	inf				
product catalytic rate constant	v7		10.0	1/s	10.0	4.199791070514112e+87	inf	inf				
catalytic rate constant geometric mean	hidden_1		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	hidden_1		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	hidden_1		1.0	dimensionless	1.0	3.6500521210519194e+214	inf	inf				
substrate catalytic rate constant	hidden_1		10.0	1/s	10.0	2.0266560615790408e+107	inf	inf				
product catalytic rate constant	hidden_1		10.0	1/s	10.0	2.0266560615790408e+107	inf	inf				
catalytic rate constant geometric mean	v8		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v8		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v8		6.269	dimensionless	6.269	4.038832128934389e+118	inf	inf				
substrate catalytic rate constant	v8		25.038	1/s	25.038	2.1930899028740167e+59	inf	inf				
