!!SBtab SBtabVersion='1.0' Document='BIOMD0000000239_url_balanced_mode' TableType='Compartment' TableName='Compartment' TableID='ID_870' Date='2023-11-1'
!Compartment	!Name	!Size	!Identifiers:go	!Identifiers:obo.go
CYTOPLASM	cytoplasm	1.0	GO:0005737	GO:0005737
MT_IMS	mitochondrial intermembrane space	1.0	GO:0005758	GO:0005758
MT_IM	mitochondrial inner membrane	1.0	GO:0005743	GO:0005743
MATRIX	mitochondrial matrix	1.0	GO:0005759	GO:0005759

!!SBtab SBtabVersion='1.0' Document='BIOMD0000000239_url_balanced_mode' TableType='Compound' TableName='Compound' TableID='ID_169' Date='2023-11-1'
!Compound	!Name	!Location	!Charge	!IsConstant	!InitialConcentration	!hasOnlySubstanceUnits	!Identifiers:kegg.compound	!Identifiers:obo.chebi
GLC	glucose	CYTOPLASM	0	False	0.1	False	C00267	CHEBI:17925
F6P	fructose-6-phosphate	CYTOPLASM	0	False	0.5814	False	C00085	CHEBI:15946
FBP	fructose-1,6-bisphosphate	CYTOPLASM	0	False	2.4245	False	C00354	CHEBI:16905
GAP	glyceraldehyde 3-phosphate	CYTOPLASM	0	False	0.1	False	C00118	CHEBI:29052
DPG	1,2-bisphospho-D-glycerate	CYTOPLASM	0	False	0.1	False	C00236	CHEBI:16001
PEP	phosphoenolpyruvate	CYTOPLASM	0	False	0.1	False	C00074	CHEBI:18021
PYR_cyt	pyruvate	CYTOPLASM	0	False	0.1	False	C00022	CHEBI:32816
AMP	adenine monophosphate	CYTOPLASM	0	False	0.1747	False	C00020	CHEBI:16027
LAC	lactate	CYTOPLASM	0	False	0.1	False	C00186	CHEBI:422
G3P	glycerol-3-phosphate	CYTOPLASM	0	False	0.1	False	C00093	CHEBI:15978
DHAP	dihydrohxyacetone-phosphate	CYTOPLASM	0	False	0.2578	False	C00111	CHEBI:16108
OXA_cyt	oxaloacetate	CYTOPLASM	0	False	0.1	False	C00036	CHEBI:30744
Asp_cyt	aspartate	CYTOPLASM	0	False	0.1	False	C00049	CHEBI:17053
Glu_cyt	glutamate	CYTOPLASM	0	False	17.9719	False	C00025	CHEBI:16015
OG_cyt	oxoglutarate	CYTOPLASM	0	False	2.048	False	C00026	CHEBI:30915
Mal_cyt	malate	CYTOPLASM	0	False	0.1	False	C00149	CHEBI:30797
Acetyl_CoA_cyt	acetyl CoA	CYTOPLASM	0	False	0.1	False	C00024	CHEBI:15351
CoA_cyt	coenzyme A	CYTOPLASM	0	False	0.1	False	C00010	CHEBI:15346
IsoCitcyt	isocitrate	CYTOPLASM	0	False	0.1	False	C00311	CHEBI:30887
Cit_cyt	citrate	CYTOPLASM	0	False	0.5814	False	C00158	CHEBI:30769
ATP_cyt	adenine triphosphate	CYTOPLASM	0	False	0.1	False	C0002	
ADP_cyt	adenine diphosphate	CYTOPLASM	0	False	0.1	False	C0008	
NAD	NAD	CYTOPLASM	0	False	1.0531	False	C00003	CHEBI:15846
NADH_cyt	NADH	CYTOPLASM	0	False	0.1	False	C00004	CHEBI:16908
NADP_cyt	NADP	CYTOPLASM	0	False	0.1	False	C00006	CHEBI:18009
NADPH_cyt	NADPH	CYTOPLASM	0	False	0.1	False	C00005	CHEBI:16474
Pyr	pyruvate	MATRIX	0	False	1.2853	False	C00022	CHEBI:32816
CO2	carbon dioxide	MATRIX	0	False	0.1	False	C00011	CHEBI:16526
CoA	coenzyme A	MATRIX	0	False	0.1	False	C00010	CHEBI:15346
Acetyl_CoA	acetyl CoA	MATRIX	0	False	0.1	False	C00024	CHEBI:15351
Pi	phosphate	MATRIX	0	False	15.8972	False	C00009	CHEBI:18367
Fum	fumarate	MATRIX	0	False	0.1	False	C00122	CHEBI:18012
SCoA	succinyl-CoA	MATRIX	0	False	0.1	False	C00091	CHEBI:15380
Suc	succinate	MATRIX	0	False	0.1	False	C00042	CHEBI:15741
GTP	guanosine triphosphate	MATRIX	0	False	0.1	False	C00044	CHEBI:15996
GDP	guanosine diphosphate	MATRIX	0	False	0.1	False	C00035	CHEBI:17552
Ala	slanine	MATRIX	0	False	11.7112	False	C00041	CHEBI:16977
Asp	aspartate	MATRIX	0	False	0.1	False	C00049	CHEBI:17053
Glu	glutamate	MATRIX	0	False	0.1	False	C00025	CHEBI:16015
H2O	water	MATRIX	0	False	0.1	False	C00001	CHEBI:15377
ETFred	electron transfer flavoprotein (reduced form)	MATRIX	0	False	0.1	False	C04570	
ETFox	electron transfer flavoprotein (oxidised form)	MATRIX	0	False	0.1	False	C04253	
FADH2	FADH2	MATRIX	0	False	0.1	False	C01352	CHEBI:17877
FAD	FAD	MATRIX	0	False	0.1	False	C00016	CHEBI:16238
OG	oxoglutarate	MATRIX	0	False	0.1	False	C00026	CHEBI:30915
Mal	malate	MATRIX	0	False	0.1	False	C00149	CHEBI:30797
OXA	oxaloacetate	MATRIX	0	False	0.1	False	C00036	CHEBI:30744
Cit	citrate	MATRIX	0	False	0.1	False	C00158	CHEBI:30769
IsoCit	isocitrate	MATRIX	0	False	0.1	False	C00311	CHEBI:30887
ATP	adenine triphosphate	MATRIX	0	False	0.1	False	C0002	
ADP	adenine diphosphate	MATRIX	0	False	0.1	False	C0008	
NADP_p	NADP+	MATRIX	0	False	0.0898	False	C00006	CHEBI:18009
NADPH	NADPH	MATRIX	0	False	0.0898	False	C00005	CHEBI:16474
NAD_p	NAD+	MATRIX	0	False	0.1	False	C00003	CHEBI:15846
NADH	NADH	MATRIX	0	False	0.1	False	C00004	CHEBI:16908
Q	ubiquinone	MT_IMS	0	False	0.1	False	C00399	CHEBI:16389
QH2	ubiquinol	MT_IMS	0	False	0.1	False	C00390	CHEBI:17976
Cytc3p	ferrocytochrome c	MT_IMS	0	False	0.1	False	C00126	CHEBI:16928
Cytc2p	ferricytochrome c	MT_IMS	0	False	0.1	False	C00125	CHEBI:15991

!!SBtab SBtabVersion='1.0' Document='BIOMD0000000239_url_balanced_mode' TableType='Reaction' TableName='Reaction' TableID='ID_739' Date='2023-11-1'
!Reaction	!Name	!ReactionFormula	!Regulator	!KineticLaw	!IsReversible	!Identifiers:ec-code	!Identifiers:go	!Identifiers:obo.go
GLCflow		<=> GLC		( 0.001 / 1.0) * (( kcrg_GLCflow * ( ( ((keq_GLCflow)^(hco_GLCflow/2.)) * 0) - (((keq_GLCflow)^(-hco_GLCflow/2.)) * GLC)            ) )) / sqrt(kmc_GLCflow_GLC) / (( 0 ) + ( (1 + (GLC/kmc_GLCflow_GLC)) ) - 1)	True			
LACflow		LAC <=> 		( 0.001 / 1.0) * (( kcrg_LACflow * ( ( ((keq_LACflow)^(hco_LACflow/2.)) * LAC) - (((keq_LACflow)^(-hco_LACflow/2.)) * 0)            ) )) / sqrt(kmc_LACflow_LAC) / (( (1 + (LAC/kmc_LACflow_LAC)) ) + ( 0 ) - 1)	False			
GAPflow		GAP <=> 		( 0.001 / 1.0) * (( kcrg_GAPflow * ( ( ((keq_GAPflow)^(hco_GAPflow/2.)) * GAP) - (((keq_GAPflow)^(-hco_GAPflow/2.)) * 0)            ) )) / sqrt(kmc_GAPflow_GAP) / (( (1 + (GAP/kmc_GAPflow_GAP)) ) + ( 0 ) - 1)	False			
